species	official gene symbol	cell type	nicknames	ubiquitousness index	product description	gene type	canonical marker	germ layer	organ	sensitivity_human	sensitivity_mouse	specificity_human	specificity_mouse
Mm Hs	NOX4	Proximal tubule cells	KOX-1|KOX	0.002	NADPH oxidase 4	protein-coding gene	1	Mesoderm	Kidney	0.0	0.293333	0.0	0.00157064
Mm Hs	SLC17A1	Proximal tubule cells	NAPI-1|NPT1	0.002	solute carrier family 17 member 1	protein-coding gene	1	Mesoderm	Kidney	0.0	0.4	0.0	0.00049975
Mm Hs	SLC13A3	Proximal tubule cells	NADC3|SDCT2	0.002	solute carrier family 13 member 3	protein-coding gene	1	Mesoderm	Kidney	0.0	0.32	0.00226391	0.000856714
Mm Hs	CYP2E1	Proximal tubule cells	CYP2E	0.004	cytochrome P450 family 2 subfamily E member 1	protein-coding gene	1	Mesoderm	Kidney	0.0	0.306667	0.00452781	0.00214179
Mm Hs	SLC22A8	Proximal tubule cells	OAT3	0.022	solute carrier family 22 member 8	protein-coding gene	1	Mesoderm	Kidney	0.0	0.226667	0.0	0.0272721
Mm Hs	FOLR1	Proximal tubule cells	FOLR	0.013	folate receptor 1	protein-coding gene	1	Mesoderm	Kidney	1.0	0.346667	0.00873221	0.0129221
Mm Hs	SLC7A13	Proximal tubule cells	AGT-1|XAT2	0.001	solute carrier family 7 member 13	protein-coding gene	1	Mesoderm	Kidney	0.0	0.173333	0.0	0.0
Mm Hs	AK4	Proximal tubule cells	AK3	0.007	adenylate kinase 4	protein-coding gene	1	Mesoderm	Kidney	1.0	0.146667	0.0158473	0.00278432
Mm Hs	SLC5A8	Proximal tubule cells	AIT	0.002	solute carrier family 5 member 8	protein-coding gene	1	Mesoderm	Kidney	1.0	0.173333	0.00161708	0.00121368
Mm Hs	SLC22A1	Proximal tubule cells	NA	0.003	solute carrier family 22 member 1	protein-coding gene	1	Mesoderm	Kidney	0.0	0.173333	0.00226391	0.00249875
Mm Hs	GHR	Proximal tubule cells	GHBP	0.016	growth hormone receptor	protein-coding gene	1	Mesoderm	Kidney	0.0	0.386667	0.000646831	0.0188477
Mm Hs	UPB1	Proximal tubule cells	BUP1	0.001	beta-ureidopropionase 1	protein-coding gene	1	Mesoderm	Kidney	0.0	0.0	0.0	0.00157064
Mm Hs	SLC17A3	Proximal tubule cells	NPT4	0.002	solute carrier family 17 member 3	protein-coding gene	1	Mesoderm	Kidney	0.0	0.253333	0.0	0.000642536
Mm Hs	GCDH	Proximal tubule cells	ACAD5	0.006	glutaryl-CoA dehydrogenase	protein-coding gene	1	Mesoderm	Kidney	0.0	0.306667	0.00226391	0.00535447
Mm Hs	GSTZ1	Proximal tubule cells	GSTZ1-1|MAAI|MAI	0.025	glutathione S-transferase zeta 1	protein-coding gene	1	Mesoderm	Kidney	0.0	0.253333	0.0462484	0.0164918
Mm Hs	ASL	Proximal tubule cells	NA	0.014	argininosuccinate lyase	protein-coding gene	1	Mesoderm	Kidney	0.0	0.146667	0.0152005	0.0134219
Mm Hs	FAH	Proximal tubule cells	NA	0.009	fumarylacetoacetate hydrolase	protein-coding gene	1	Mesoderm	Kidney	1.0	0.266667	0.0126132	0.00556864
Mm	SLCO1A6	Proximal tubule cells	NA	0.001	solute carrier organic anion transporter family, member 1a6	protein coding gene	1	Mesoderm	Kidney	0.0	0.173333	0.0	7.13929e-05
Mm	ECI3	Proximal tubule cells	NA	0.001	enoyl-Coenzyme A delta isomerase 3	protein coding gene	1	Mesoderm	Kidney	0.0	0.213333	0.0	0.000428357
Mm Hs	TMEM106A	Proximal tubule cells	MGC20235	0.012	transmembrane protein 106A	protein-coding gene	1	Mesoderm	Kidney	0.0	0.04	0.000646831	0.0152781
Mm Hs	GSTA2	Proximal tubule cells	GST2	0.008	glutathione S-transferase alpha 2	protein-coding gene	1	Mesoderm	Kidney	0.0	0.373333	0.00937904	0.00506889
Mm Hs	CRYL1	Proximal tubule cells	lambda-CRY|MGC149525|MGC149526	0.019	crystallin lambda 1	protein-coding gene	1	Mesoderm	Kidney	1.0	0.306667	0.0219922	0.0167773
Mm Hs	SLC5A12	Proximal tubule cells	MGC52019|SMCT2	0.001	solute carrier family 5 member 12	protein-coding gene	1	Mesoderm	Kidney	0.0	0.146667	0.0	0.000214179
Mm	KAP	Proximal tubule cells	NA	0.008	kidney androgen regulated protein	protein coding gene	1	Mesoderm	Kidney	0.0	0.693333	0.0	0.00649675
Mm Hs	AOAH	Proximal tubule cells	NA	0.004	acyloxyacyl hydrolase	protein-coding gene	1	Mesoderm	Kidney	0.0	0.0133333	0.00485123	0.00392661
Mm Hs	SLC13A1	Proximal tubule cells	NaSi-1|NAS1	0.002	solute carrier family 13 member 1	protein-coding gene	1	Mesoderm	Kidney	1.0	0.186667	0.000323415	0.000785322
Mm Hs	ABCC2	Proximal tubule cells	DJS|cMRP|CMOAT	0.003	ATP binding cassette subfamily C member 2	protein-coding gene	1	Mesoderm	Kidney	0.0	0.106667	0.000970246	0.00278432
Mm Hs	PKHD1	Proximal tubule cells	ARPKD|FCYT|FPC|TIGM1	0.005	PKHD1, fibrocystin/polyductin	protein-coding gene	NA	Mesoderm	Kidney	0.0	0.0533333	0.0148771	0.0029985
Mm Hs	SLC9A8	Proximal tubule cells	KIAA0939|NHE8	0.001	solute carrier family 9 member A8	protein-coding gene	1	Mesoderm	Kidney	0.0	0.0133333	0.0	0.00114229
Mm	SLC22A19	Proximal tubule cells	NA	0.0	solute carrier family 22 (organic anion transporter), member 19	protein coding gene	1	Mesoderm	Kidney	0.0	0.04	0.0	0.0
None	TMEM27	Proximal tubule cells	NA	0.012	NA	NA	1	Mesoderm	Kidney	1.0	0.96	0.00355757	0.00885272
Mm Hs	SCIN	Proximal tubule cells	KIAA1905	0.006	scinderin	protein-coding gene	1	Mesoderm	Kidney	0.0	0.0	0.0106727	0.00521168
Mm Hs	ALPL	Proximal tubule cells	TNSALP|TNALP|TNAP|HOPS	0.007	alkaline phosphatase, liver/bone/kidney	protein-coding gene	1	Mesoderm	Kidney	0.0	0.12	0.0042044	0.00771043
Mm Hs	G6PC	Proximal tubule cells	GSD1a|G6PT	0.002	glucose-6-phosphatase catalytic subunit	protein-coding gene	1	Mesoderm	Kidney	0.0	0.226667	0.000323415	0.00149925
Mm	KEG1	Proximal tubule cells	NA	0.004	kidney expressed gene 1	protein coding gene	1	Mesoderm	Kidney	0.0	0.76	0.0	0.00114229
Mm Hs	SLC22A13	Proximal tubule cells	OCTL1|OCTL3|OAT10|ORCTL3	0.0	solute carrier family 22 member 13	protein-coding gene	1	Mesoderm	Kidney	0.0	0.0266667	0.0	0.0
Mm Hs	SLC22A7	Proximal tubule cells	NLT|OAT2	0.001	solute carrier family 22 member 7	protein-coding gene	1	Mesoderm	Kidney	0.0	0.0533333	0.000323415	0.00049975
Mm Hs	SLC16A9	Proximal tubule cells	FLJ43803|MCT9|C10orf36	0.001	solute carrier family 16 member 9	protein-coding gene	1	Mesoderm	Kidney	0.0	0.0	0.00291074	0.000571143
Mm Hs	AGXT2	Proximal tubule cells	AGT2	0.001	alanine--glyoxylate aminotransferase 2	protein-coding gene	1	Mesoderm	Kidney	0.0	0.0	0.000323415	0.000785322
Mm Hs	SORD	Proximal tubule cells	NA	0.033	sorbitol dehydrogenase	protein-coding gene	1	Mesoderm	Kidney	0.0	0.866667	0.0106727	0.0346255
Mm Hs	SOD3	Proximal tubule cells	EC-SOD	0.027	superoxide dismutase 3	protein-coding gene	1	Mesoderm	Kidney	0.0	0.12	0.0633894	0.0194189
Mm Hs	HNF4A	Proximal tubule cells	NR2A1|HNF4|TCF14|MODY|MODY1	0.018	hepatocyte nuclear factor 4 alpha	protein-coding gene	1	Mesoderm	Kidney	0.0	0.32	0.00808538	0.0184908
Mm Hs	NME4	Proximal tubule cells	nm23-H4|NM23H4|NDPKD	0.08	NME/NM23 nucleoside diphosphate kinase 4	protein-coding gene	1	Mesoderm	Kidney	0.0	0.0	0.21119	0.0388377
Mm Hs	APOE	Proximal tubule cells	AD2	0.325	apolipoprotein E	protein-coding gene	1	Mesoderm	Kidney	1.0	0.186667	0.135511	0.370743
Mm Hs	HGD	Proximal tubule cells	HGO|AKU	0.003	homogentisate 1,2-dioxygenase	protein-coding gene	1	Mesoderm	Kidney	1.0	0.213333	0.00452781	0.00128507
Mm Hs	OSGIN1	Proximal tubule cells	BDGI|OKL38	0.006	oxidative stress induced growth inhibitor 1	protein-coding gene	1	Mesoderm	Kidney	0.0	0.04	0.00323415	0.00678232
Mm Hs	HSD11B1	Proximal tubule cells	SDR26C1|HSD11B|HSD11	0.02	hydroxysteroid 11-beta dehydrogenase 1	protein-coding gene	1	Mesoderm	Kidney	0.0	0.0	0.0100259	0.0232027
Mm Hs	SERPINF2	Proximal tubule cells	API|ALPHA-2-PI|A2AP|AAP|PLI	0.005	serpin family F member 2	protein-coding gene	1	Mesoderm	Kidney	1.0	0.106667	0.00873221	0.00321268
Mm Hs	HAAO	Proximal tubule cells	NA	0.002	3-hydroxyanthranilate 3,4-dioxygenase	protein-coding gene	1	Mesoderm	Kidney	0.0	0.0933333	0.000646831	0.00164204
Mm Hs	PPIC	Proximal tubule cells	CYPC	0.105	peptidylprolyl isomerase C	protein-coding gene	1	Mesoderm	Kidney	0.0	0.04	0.0889392	0.108374
Mm Hs	TFF3	Proximal tubule cells	HITF|ITF	0.021	trefoil factor 3	protein-coding gene	1	Mesoderm	Kidney	0.0	0.0	0.045925	0.0124938
Mm Hs	GNG13	Proximal tubule cells	h2-35|G(gamma)13	0.007	G protein subunit gamma 13	protein-coding gene	1	Mesoderm	Kidney	0.0	0.0	0.0	0.00842436
Mm Hs	SLC23A3	Proximal tubule cells	SVCT3|FLJ31168|Yspl1	0.0	solute carrier family 23 member 3	protein-coding gene	1	Mesoderm	Kidney	0.0	0.0	0.0	0.000356964
Mm Hs	GC	Proximal tubule cells	VDBP|hDBP	0.009	GC, vitamin D binding protein	protein-coding gene	1	Mesoderm	Kidney	0.0	0.0266667	0.0145537	0.00856715
Mm Hs	CACNG5	Proximal tubule cells	NA	0.003	calcium voltage-gated channel auxiliary subunit gamma 5	protein-coding gene	1	Mesoderm	Kidney	0.0	0.0	0.0	0.00356964
Mm Hs	TGFBI	Proximal tubule cells	BIGH3|CDB1|CDGG1|CSD3|LCD1|CSD1|CSD2	0.061	transforming growth factor beta induced	protein-coding gene	1	Mesoderm	Kidney	0.0	0.0	0.0656533	0.0565432
Mm Hs	RBP4	Proximal tubule cells	NA	0.029	retinol binding protein 4	protein-coding gene	1	Mesoderm	Kidney	0.0	0.0	0.0388098	0.0272721
Mm Hs	NAPSA	Proximal tubule cells	NAPA|Kdap	0.044	napsin A aspartic peptidase	protein-coding gene	1	Mesoderm	Kidney	0.0	0.36	0.00679172	0.0491183
Mm Hs	MMP11	Pulmonary alveolar type I cells	STMY3	0.009	matrix metallopeptidase 11	protein-coding gene	1	Endoderm	Lungs	NA	0.392857	0.00452635	0.00675964
Mm Hs	ICAM1	Pulmonary alveolar type I cells	CD54	0.008	intercellular adhesion molecule 1	protein-coding gene	1	Endoderm	Lungs	NA	0.321429	0.0061429	0.00796926
Mm Hs	CTGF	Pulmonary alveolar type I cells	IGFBP8|CCN2	0.029	connective tissue growth factor	protein-coding gene	1	Endoderm	Lungs	NA	0.714286	0.102813	0.00974811
Mm Hs	SEMA3B	Pulmonary alveolar type I cells	SemA|semaV|LUCA-1|sema5|SEMAA	0.009	semaphorin 3B	protein-coding gene	1	Endoderm	Lungs	NA	0.607143	0.0184287	0.00668849
Mm	GRAMD2	Pulmonary alveolar type I cells	NA	0.001	GRAM domain containing 2	protein coding gene	1	Endoderm	Lungs	NA	0.714286	0.0	0.000498079
Mm Hs	SCNN1B	Pulmonary alveolar type I cells	ENaCbeta	0.003	sodium channel epithelial 1 beta subunit	protein-coding gene	1	Endoderm	Lungs	NA	0.642857	0.00323311	0.00213462
Mm Hs	SEMA3E	Pulmonary alveolar type I cells	M-SemaK|KIAA0331|coll-5|SEMAH	0.005	semaphorin 3E	protein-coding gene	1	Endoderm	Lungs	NA	0.75	0.0	0.0051231
Mm Hs	SCNN1G	Pulmonary alveolar type I cells	ENaCgamma|SCNEG	0.002	sodium channel epithelial 1 gamma subunit	protein-coding gene	1	Endoderm	Lungs	NA	0.821429	0.0	0.000853849
Mm Hs	SCNN1A	Pulmonary alveolar type I cells	ENaCalpha|SCNN1	0.008	sodium channel epithelial 1 alpha subunit	protein-coding gene	1	Endoderm	Lungs	NA	0.928571	0.0109926	0.00555002
Mm Hs	COL4A4	Pulmonary alveolar type I cells	CA44	0.006	collagen type IV alpha 4 chain	protein-coding gene	1	Endoderm	Lungs	NA	0.892857	0.00258649	0.00569233
Mm Hs	CYP4B1	Pulmonary alveolar type I cells	NA	0.013	cytochrome P450 family 4 subfamily B member 1	protein-coding gene	1	Endoderm	Lungs	NA	0.5	0.0113159	0.0132347
Mm Hs	RTKN2	Pulmonary alveolar type I cells	Em:AC024597.2|bA531F24.1|FLJ39352|PLEKHK1	0.007	rhotekin 2	protein-coding gene	1	Endoderm	Lungs	NA	1.0	0.0278047	0.00113847
Mm Hs	CLIC5	Pulmonary alveolar type I cells	DFNB102	0.014	chloride intracellular channel 5	protein-coding gene	1	Endoderm	Lungs	NA	0.964286	0.013579	0.0123808
Mm	CYP2B10	Pulmonary alveolar type I cells	NA	0.003	cytochrome P450, family 2, subfamily b, polypeptide 10	protein coding gene	1	Endoderm	Lungs	NA	0.571429	0.0	0.00334424
Mm Hs	AKAP5	Pulmonary alveolar type I cells	AKAP75|AKAP79	0.006	A-kinase anchoring protein 5	protein-coding gene	1	Endoderm	Lungs	NA	0.964286	0.0	0.00583464
Mm Hs	GPRC5A	Pulmonary alveolar type I cells	RAIG1|PEIG-1|RAI3	0.022	G protein-coupled receptor class C group 5 member A	protein-coding gene	1	Endoderm	Lungs	NA	0.964286	0.0834142	0.00540771
Mm Hs	SEC14L3	Pulmonary alveolar type I cells	TAP2	0.005	SEC14 like lipid binding 3	protein-coding gene	1	Endoderm	Lungs	NA	1.0	0.0	0.00426925
Mm Hs	COL4A3	Pulmonary alveolar type I cells	NA	0.005	collagen type IV alpha 3 chain	protein-coding gene	1	Endoderm	Lungs	NA	0.964286	0.000646621	0.0043404
Mm Hs	CLDN18	Pulmonary alveolar type I cells	SFTPJ	0.007	claudin 18	protein-coding gene	1	Endoderm	Lungs	NA	1.0	0.00323311	0.00583464
Mm Hs	AGER	Pulmonary alveolar type I cells	SCARJ1	0.006	advanced glycosylation end-product specific receptor	protein-coding gene	1	Endoderm	Lungs	NA	1.0	0.000646621	0.00569233
Mm Hs	HOPX	Pulmonary alveolar type I cells	LAGY|OB1|NECC1|SMAP31	0.032	HOP homeobox	protein-coding gene	1	Endoderm	Lungs	NA	1.0	0.086324	0.0199232
Mm Hs	AQP5	Pulmonary alveolar type I cells	NA	0.016	aquaporin 5	protein-coding gene	1	Endoderm	Lungs	NA	1.0	0.0433236	0.00839619
Mm Hs	EMP2	Pulmonary alveolar type I cells	XMP	0.06	epithelial membrane protein 2	protein-coding gene	1	Endoderm	Lungs	NA	1.0	0.0918202	0.0482425
Mm Hs	VEGFA	Pulmonary alveolar type I cells	VEGF-A|VPF|VEGF	0.021	vascular endothelial growth factor A	protein-coding gene	1	Endoderm	Lungs	NA	0.964286	0.0252182	0.0175751
Mm Hs	KRT7	Pulmonary alveolar type I cells	CK7|K2C7	0.056	keratin 7	protein-coding gene	1	Endoderm	Lungs	NA	1.0	0.103459	0.0438309
Mm Hs	IGFBP6	Pulmonary alveolar type I cells	NA	0.039	insulin like growth factor binding protein 6	protein-coding gene	1	Endoderm	Lungs	NA	0.607143	0.0866473	0.0264693
Mm Hs	PXDC1	Pulmonary alveolar type I cells	C6orf145	0.024	PX domain containing 1	protein-coding gene	1	Endoderm	Lungs	NA	0.785714	0.00193986	0.0282482
Mm Hs	AQP3	Pulmonary alveolar type I cells	GIL	0.024	aquaporin 3 (Gill blood group)	protein-coding gene	1	Endoderm	Lungs	NA	0.0	0.0727449	0.0142308
Mm Hs	CRLF1	Pulmonary alveolar type I cells	CLF-1|CISS|CISS1	0.015	cytokine receptor like factor 1	protein-coding gene	1	Endoderm	Lungs	NA	0.714286	0.00549628	0.0163654
Mm Hs	EGFL6	Pulmonary alveolar type I cells	MAEG	0.008	EGF like domain multiple 6	protein-coding gene	1	Endoderm	Lungs	NA	0.0	0.00840608	0.00782695
Mm Hs	FSTL3	Pulmonary alveolar type I cells	FLRG|FSRP	0.005	follistatin like 3	protein-coding gene	1	Endoderm	Lungs	NA	0.0	0.0151956	0.000498079
Mm Hs	MEX3B	Pulmonary alveolar type I cells	DKFZp434J0617|RNF195|RKHD3	0.004	mex-3 RNA binding family member B	protein-coding gene	1	Endoderm	Lungs	NA	0.0	0.0116392	0.00313078
Mm Hs	RADIL	Pulmonary alveolar type I cells	FLJ10324|KIAA1849|RASIP2	0.0	Rap associating with DIL domain	protein-coding gene	1	Endoderm	Lungs	NA	0.0	0.000323311	0.000569233
Mm Hs	SMARCA1	Pulmonary alveolar type I cells	NURF140|SWI|hSNF2L|SNF2L1|SNF2L	0.016	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	protein-coding gene	1	Endoderm	Lungs	NA	0.0	0.042677	0.0094635
Mm Hs	P2RX7	Pulmonary alveolar type I cells	P2X7|MGC20089	0.004	purinergic receptor P2X 7	protein-coding gene	1	Endoderm	Lungs	NA	0.0	0.0090527	0.0034154
Mm Hs	PDPN	Pulmonary alveolar type I cells	T1A-2|Gp38|aggrus|PA2.26	0.06	podoplanin	protein-coding gene	1	Endoderm	Lungs	NA	0.964286	0.023925	0.0676676
Mm Hs	IRX1	Pulmonary alveolar type II cells	IRX-5	0.007	iroquois homeobox 1	protein-coding gene	1	Endoderm	Lungs	0.0	0.245902	0.0	0.00756009
Mm Hs	EGFL6	Pulmonary alveolar type II cells	MAEG	0.008	EGF like domain multiple 6	protein-coding gene	1	Endoderm	Lungs	0.0	0.540984	0.00843061	0.00549176
Mm Hs	CEBPA	Pulmonary alveolar type II cells	C/EBP-alpha|CEBP	0.019	CCAAT enhancer binding protein alpha	protein-coding gene	1	Endoderm	Lungs	0.0	0.229508	0.0	0.0211825
Mm Hs	NKX2-1	Pulmonary alveolar type II cells	TTF-1|TTF1|NKX2A|BCH|TITF1	0.007	NK2 homeobox 1	protein-coding gene	1	Endoderm	Lungs	0.777778	0.508197	0.00291829	0.00577705
Mm Hs	MUC1	Pulmonary alveolar type II cells	CD227|PEM|ADMCKD|ADMCKD1|MCKD|MCKD1	0.013	mucin 1, cell surface associated	protein-coding gene	1	Endoderm	Lungs	1.0	0.688525	0.0285344	0.00620498
Mm Hs	CLDN18	Pulmonary alveolar type II cells	SFTPJ	0.007	claudin 18	protein-coding gene	1	Endoderm	Lungs	0.777778	0.852459	0.000972763	0.00413665
Mm Hs	AGER	Pulmonary alveolar type II cells	SCARJ1	0.006	advanced glycosylation end-product specific receptor	protein-coding gene	1	Endoderm	Lungs	0.222222	0.934426	0.0	0.0036374
Mm Hs	LAMP3	Pulmonary alveolar type II cells	TSC403|DC-LAMP|DCLAMP|CD208	0.005	lysosomal associated membrane protein 3	protein-coding gene	1	Endoderm	Lungs	0.555556	0.672131	0.0113489	0.0
Mm Hs	SFTA2	Pulmonary alveolar type II cells	SFTPG	0.006	surfactant associated 2	protein-coding gene	1	Endoderm	Lungs	0.888889	0.967213	0.00194553	0.00242493
Mm Hs	SFTPD	Pulmonary alveolar type II cells	SP-D|COLEC7|SFTP4	0.006	surfactant protein D	protein-coding gene	1	Endoderm	Lungs	1.0	0.770492	0.000324254	0.0036374
Mm Hs	SLC34A2	Pulmonary alveolar type II cells	NAPI-3B	0.005	solute carrier family 34 member 2	protein-coding gene	1	Endoderm	Lungs	1.0	0.786885	0.00226978	0.00142643
Mm	CXCL15	Pulmonary alveolar type II cells	NA	0.006	chemokine (C-X-C motif) ligand 15	protein coding gene	1	Endoderm	Lungs	0.0	0.852459	0.0	0.00449326
Mm Hs	SFTPB	Pulmonary alveolar type II cells	SP-B|SFTP3	0.01	surfactant protein B	protein-coding gene	1	Endoderm	Lungs	1.0	1.0	0.0132944	0.00477855
Mm Hs	SFTPA1	Pulmonary alveolar type II cells	SP-A|SP-A1|COLEC4|SFTP1	0.009	surfactant protein A1	protein-coding gene	1	Endoderm	Lungs	1.0	0.819672	0.0100519	0.00520648
Mm Hs	SFTPC	Pulmonary alveolar type II cells	SP-C|PSP-C|SMDP2|BRICD6|SFTP2	0.017	surfactant protein C	protein-coding gene	1	Endoderm	Lungs	1.0	1.0	0.0103761	0.0142643
Mm Hs	SDC1	Pulmonary alveolar type II cells	CD138|syndecan|SYND1|SDC	0.042	syndecan 1	protein-coding gene	NA	Endoderm	Lungs	0.0	0.491803	0.0479896	0.0399401
Mm Hs	ADGRF5	Pulmonary alveolar type II cells	DKFZp564O1923|KIAA0758|GPR116	0.041	adhesion G protein-coupled receptor F5	protein-coding gene	1	Endoderm	Lungs	0.555556	0.540984	0.0158885	0.0457885
Mm Hs	ABCD3	Pulmonary alveolar type II cells	PMP70|ZWS2	0.038	ATP binding cassette subfamily D member 3	protein-coding gene	1	Endoderm	Lungs	0.0	0.262295	0.00972763	0.0449326
Mm Hs	SOAT1	Pulmonary alveolar type II cells	STAT	0.034	sterol O-acyltransferase 1	protein-coding gene	1	Endoderm	Lungs	0.0	0.327869	0.0116732	0.0385137
Mm Hs	ETV5	Pulmonary alveolar type II cells	ERM	0.016	ETS variant 5	protein-coding gene	1	Endoderm	Lungs	0.111111	0.409836	0.0129702	0.0129805
Mm Hs	CD36	Pulmonary alveolar type II cells	SCARB3|GPIV|GP4|GP3B	0.033	CD36 molecule	protein-coding gene	1	Endoderm	Lungs	0.333333	0.721311	0.0346952	0.030597
Mm Hs	LPCAT1	Pulmonary alveolar type II cells	FLJ12443|AYTL2	0.021	lysophosphatidylcholine acyltransferase 1	protein-coding gene	1	Endoderm	Lungs	0.777778	0.786885	0.00810636	0.0208972
Mm Hs	NAPSA	Pulmonary alveolar type II cells	NAPA|Kdap	0.044	napsin A aspartic peptidase	protein-coding gene	1	Endoderm	Lungs	1.0	0.737705	0.00389105	0.0477855
Mm	CBR2	Pulmonary alveolar type II cells	NA	0.022	carbonyl reductase 2	protein coding gene	1	Endoderm	Lungs	0.0	0.934426	0.0	0.0237501
Mm Hs	ABCA3	Pulmonary alveolar type II cells	ABC-C|EST111653|LBM180|ABC3	0.001	ATP binding cassette subfamily A member 3	protein-coding gene	1	Endoderm	Lungs	0.777778	0.0163934	0.000648508	0.000570573
Mm	SCD1	Pulmonary alveolar type II cells	NA	0.032	stearoyl-Coenzyme A desaturase 1	protein coding gene	1	Endoderm	Lungs	0.0	0.704918	0.0	0.0379431
Mm Hs	S100G	Pulmonary alveolar type II cells	CABP9K|CABP1|CALB3	0.019	S100 calcium binding protein G	protein-coding gene	1	Endoderm	Lungs	0.0	0.721311	0.0	0.0213965
Mm	LYZ1	Pulmonary alveolar type II cells	NA	0.024	lysozyme 1	protein coding gene	1	Endoderm	Lungs	0.0	0.557377	0.0	0.0276728
Mm Hs	PGC	Pulmonary alveolar type II cells	NA	0.003	progastricsin	protein-coding gene	1	Endoderm	Lungs	1.0	0.0	0.00259403	0.00299551
Mm Hs	CXCR2	Pulmonary alveolar type II cells	CMKAR2|CD182|IL8RB	0.002	C-X-C motif chemokine receptor 2	protein-coding gene	1	Endoderm	Lungs	0.0	0.0	0.0	0.00285286
Mm Hs	CXCL2	Pulmonary alveolar type II cells	SCYB2|GROb|MIP-2a|MGSA-b|CINC-2a|GRO2	0.034	C-X-C motif chemokine ligand 2	protein-coding gene	1	Endoderm	Lungs	1.0	0.0	0.0528534	0.0302404
Hs	GRK2	Pulmonary alveolar type II cells	BARK1|ADRBK1	0.001	G protein-coupled receptor kinase 2	protein-coding gene	1	Endoderm	Lungs	0.0	0.0	0.0077821	0.0
Mm Hs	RUNX3	Pulmonary alveolar type II cells	AML2|PEBP2A3|CBFA3	0.016	runt related transcription factor 3	protein-coding gene	1	Endoderm	Lungs	0.0	0.0	0.0188067	0.0134798
Mm Hs	CTNND1	Pulmonary alveolar type II cells	KIAA0384|p120cas|p120ctn|CTNND	0.036	catenin delta 1	protein-coding gene	1	Endoderm	Lungs	0.0	0.0163934	0.0444228	0.0348049
Mm	CD59A	Pulmonary alveolar type II cells	NA	0.032	CD59a antigen	protein coding gene	1	Endoderm	Lungs	0.0	0.0	0.0	0.0407959
Mm Hs	PPP1R14C	Pulmonary alveolar type II cells	NY-BR-81|KEPI	0.022	protein phosphatase 1 regulatory inhibitor subunit 14C	protein-coding gene	1	Endoderm	Lungs	0.0	0.377049	0.00616083	0.024392
Mm Hs	DDX3Y	Pulmonary alveolar type II cells	DBY	0.028	DEAD-box helicase 3 Y-linked	protein-coding gene	1	Endoderm	Lungs	0.111111	0.0	0.0515564	0.0245346
Mm Hs	PIGR	Pulmonary alveolar type II cells	NA	0.03	polymeric immunoglobulin receptor	protein-coding gene	1	Endoderm	Lungs	0.777778	0.0	0.0428016	0.0272448
Mm	H2-Q6	Pulmonary alveolar type II cells	NA	0.018	histocompatibility 2, Q region locus 6	protein coding gene	1	Endoderm	Lungs	0.0	0.0	0.0	0.021967
Mm	LY6I	Pulmonary alveolar type II cells	NA	0.002	lymphocyte antigen 6 complex, locus I	protein coding gene	1	Endoderm	Lungs	0.0	0.0	0.0	0.00156907
Mm	WFDC17	Pulmonary alveolar type II cells	NA	0.03	WAP four-disulfide core domain 17	protein coding gene	1	Endoderm	Lungs	0.0	0.0	0.0	0.0356608
Mm Hs	LRG1	Pulmonary alveolar type II cells	LRG	0.019	leucine rich alpha-2-glycoprotein 1	protein-coding gene	1	Endoderm	Lungs	0.0	0.245902	0.0035668	0.0228942
Mm Hs	NRN1	Pulmonary alveolar type II cells	NRN	0.023	neuritin 1	protein-coding gene	1	Endoderm	Lungs	0.0	0.0327869	0.0103761	0.0254618
Mm Hs	PPBP	Pulmonary alveolar type II cells	SCYB7|TGB|NAP-2-L1|LA-PF4|MDGF|LDGF|Beta-TG|CTAP3|CXCL7|b-TG1|TGB1|CTAPIII|NAP-2|THBGB1	0.001	pro-platelet basic protein	protein-coding gene	1	Endoderm	Lungs	0.0	0.0	0.0035668	0.00042793
Mm Hs	IL1B	Pulmonary alveolar type II cells	IL1F2|IL-1B|IL1-BETA	0.02	interleukin 1 beta	protein-coding gene	1	Endoderm	Lungs	0.0	0.0	0.0236706	0.0187576
Mm Hs	INMT	Pulmonary alveolar type II cells	NA	0.012	indolethylamine N-methyltransferase	protein-coding gene	1	Endoderm	Lungs	0.0	0.0327869	0.0100519	0.0127666
Mm Hs	CRLF1	Pulmonary alveolar type II cells	CLF-1|CISS|CISS1	0.015	cytokine receptor like factor 1	protein-coding gene	1	Endoderm	Lungs	0.0	0.229508	0.00551232	0.0168319
Mm Hs	ANGPT1	Pulmonary vascular smooth muscle cells	KIAA0003|Ang1	0.01	angiopoietin 1	protein-coding gene	NA	Mesoderm	Smooth muscle	NA	NA	0.00193986	0.0115751
Mm Hs	PDGFRB	Pulmonary vascular smooth muscle cells	JTK12|CD140b|PDGFR1|PDGFR	0.032	platelet derived growth factor receptor beta	protein-coding gene	NA	Mesoderm	Smooth muscle	NA	NA	0.037504	0.0310325
Mm Hs	GJA5	Purkinje fiber cells	CX40	0.002	gap junction protein alpha 5	protein-coding gene	NA	Mesoderm	Heart	NA	NA	0.00161655	0.00184633
Mm Hs	B3GAT1	Purkinje fiber cells	GlcAT-P|HNK-1|NK-1|CD57|LEU7	0.015	beta-1,3-glucuronyltransferase 1	protein-coding gene	NA	Mesoderm	Heart	NA	NA	0.0029098	0.0183923
